name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacillus cereus	1396	S	7575531	15718255	23293786	0.16306
Bacillus thuringiensis	1428	S	92245	253255	345500	0.00242
Bacillus mycoides	1405	S	79922	194867	274789	0.00192
Bacillus anthracis	1392	S	60238	1176663	1236901	0.00866
Bacillus wiedmannii	1890302	S	50193	20124	70317	0.00049
Bacillus paranthracis	2026186	S	48754	445623	494377	0.00346
Bacillus luti	2026191	S	35068	3150	38218	0.00027
Bacillus pacificus	2026187	S	20725	79169	99894	0.00070
Bacillus pseudomycoides	64104	S	17415	259	17674	0.00012
Bacillus tropicus	2026188	S	16355	107570	123925	0.00087
Bacillus cytotoxicus	580165	S	11942	172	12114	0.00008
Bacillus sp. ABP14	1892404	S	6231	10688	16919	0.00012
Bacillus sp. HBCD-sjtu	2053832	S	3273	8953	12226	0.00009
Bacillus sp. FDAARGOS_235	1839798	S	26	267	293	0.00000
Bacillus toyonensis	155322	S	8635	39789	48424	0.00034
Bacillus albus	2026189	S	7121	13420	20541	0.00014
Bacillus nitratireducens	2026193	S	6323	3078	9401	0.00007
Bacillus mobilis	2026190	S	1704	4257	5961	0.00004
Bacillus sp. BD59S	2499213	S	18161	11579	29740	0.00021
Bacillus sp. ZJS3	2928154	S	9158	6770	15928	0.00011
Bacillus sp. N5-665	2925318	S	4846	3309	8155	0.00006
Bacillus sp. PGP15	2933563	S	2780	5465	8245	0.00006
Bacillus sp. JY-23	2933872	S	1967	13	1980	0.00001
Bacillus sp. SYJ	2529386	S	1538	9176	10714	0.00007
Bacillus sp. CRB-7	2874284	S	990	7509	8499	0.00006
Bacillus sp. NP247	2846779	S	766	1784	2550	0.00002
Bacillus sp. COPE52	2233998	S	499	1026	1525	0.00001
Bacillus sp. 1NLA3E	666686	S	426	4	430	0.00000
Bacillus sp. 41-22	2876713	S	421	3452	3873	0.00003
Bacillus sp. THAF10	2587848	S	238	2	240	0.00000
Bacillus sp. F19	2884833	S	177	5	182	0.00000
Bacillus sp. KH172YL63	2709784	S	156	1	157	0.00000
Bacillus sp. Y1	352858	S	50	0	50	0.00000
Bacillus sp. FJAT-42376	2014076	S	40	0	40	0.00000
Bacillus sp. S3	486398	S	33	0	33	0.00000
Bacillus sp. BS98	2608254	S	26	212	238	0.00000
Bacillus sp. FJAT-22090	1581038	S	26	0	26	0.00000
Bacillus sp. N1-1	2682541	S	23	0	23	0.00000
Bacillus sp. SB49	1071080	S	15	0	15	0.00000
Bacillus sp. FJAT-18017	1705566	S	15	0	15	0.00000
Bacillus sp. NSP9.1	1071078	S	13	0	13	0.00000
Bacillus sp. Cs-700	2589818	S	12	0	12	0.00000
Bacillus sp. OxB-1	98228	S	12	0	12	0.00000
Bacillus sp. ZY-1-1	2093834	S	12	335	347	0.00000
Bacillus sp. FDAARGOS_527	2576356	S	11	219	230	0.00000
Bacillus subtilis	1423	S	1264	14060	15324	0.00011
Bacillus velezensis	492670	S	902	8473	9375	0.00007
Bacillus amyloliquefaciens	1390	S	126	2526	2652	0.00002
Bacillus siamensis	659243	S	13	16	29	0.00000
Bacillus halotolerans	260554	S	43	26	69	0.00000
Bacillus atrophaeus	1452	S	47	52	99	0.00000
Bacillus paralicheniformis	1648923	S	38	5	43	0.00000
Bacillus licheniformis	1402	S	35	301	336	0.00000
Bacillus vallismortis	72361	S	22	6	28	0.00000
Bacillus tequilensis	227866	S	12	0	12	0.00000
Bacillus zhangzhouensis	1178540	S	561	48	609	0.00000
Bacillus safensis	561879	S	251	173	424	0.00000
Bacillus aquiflavi	2672567	S	129	0	129	0.00000
Bacillus pumilus	1408	S	128	30	158	0.00000
Bacillus altitudinis	293387	S	107	170	277	0.00000
Bacillus methanolicus	1471	S	77	0	77	0.00000
Bacillus smithii	1479	S	50	2	52	0.00000
Bacillus dafuensis	1742359	S	36	0	36	0.00000
Bacillus weihaiensis	1547283	S	34	0	34	0.00000
Bacillus shivajii	1983719	S	32	0	32	0.00000
Bacillus glycinifermentans	1664069	S	21	0	21	0.00000
Bacillus gobiensis	1441095	S	19	0	19	0.00000
Bacillus fonticola	2728853	S	17	0	17	0.00000
Bacillus badius	1455	S	16	0	16	0.00000
Bacillus infantis	324767	S	12	0	12	0.00000
Lysinibacillus sphaericus	1421	S	181	70	251	0.00000
Lysinibacillus sp. 2017	2169540	S	25	0	25	0.00000
Lysinibacillus sp. YS11	2072025	S	19	1	20	0.00000
Lysinibacillus sp. PLM2	2929796	S	19	0	19	0.00000
Lysinibacillus timonensis	2086577	S	39	0	39	0.00000
Lysinibacillus capsici	2115968	S	30	7	37	0.00000
Lysinibacillus fusiformis	28031	S	21	0	21	0.00000
Peribacillus frigoritolerans	450367	S	108	4	112	0.00000
Peribacillus asahii	228899	S	105	1	106	0.00000
Peribacillus simplex	1478	S	27	2	29	0.00000
Priestia megaterium	1404	S	145	313	458	0.00000
Priestia filamentosa	1402861	S	13	0	13	0.00000
Priestia aryabhattai	412384	S	12	39	51	0.00000
Priestia flexa	86664	S	11	0	11	0.00000
Weizmannia coagulans	1398	S	165	20	185	0.00000
Fictibacillus sp. KU28468	2991053	S	65	1	66	0.00000
Fictibacillus arsenicus	255247	S	56	3	59	0.00000
Fictibacillus phosphorivorans	1221500	S	15	1	16	0.00000
Pontibacillus sp. HMF3514	2692425	S	126	0	126	0.00000
Metabacillus sp. KUDC1714	2745198	S	15	1	16	0.00000
Metabacillus sp. B2-18	2897333	S	11	69	80	0.00000
Metabacillus sediminilitoris	2567941	S	10	0	10	0.00000
Virgibacillus sp. NKC19-16	2831673	S	25	7	32	0.00000
Virgibacillus sp. MSP4-1	2700081	S	19	2	21	0.00000
Radiobacillus deserti	2594883	S	54	0	54	0.00000
Radiobacillus sp. 80	2844358	S	20	0	20	0.00000
Heyndrickxia oleronia	38875	S	54	1	55	0.00000
Heyndrickxia vini	1476025	S	18	0	18	0.00000
Alkalihalobacillus sp. LMS39	2924032	S	26	21	47	0.00000
Parageobacillus genomosp. 1	1295642	S	43	3	46	0.00000
