name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacillus cereus	1396	S	2809120	5908429	8717549	0.08225
Bacillus thuringiensis	1428	S	33906	102332	136238	0.00129
Bacillus mycoides	1405	S	28971	72543	101514	0.00096
Bacillus anthracis	1392	S	22183	435597	457780	0.00432
Bacillus wiedmannii	1890302	S	18604	7575	26179	0.00025
Bacillus paranthracis	2026186	S	17680	164492	182172	0.00172
Bacillus luti	2026191	S	12836	1178	14014	0.00013
Bacillus pacificus	2026187	S	7552	29246	36798	0.00035
Bacillus pseudomycoides	64104	S	6427	98	6525	0.00006
Bacillus tropicus	2026188	S	5894	39362	45256	0.00043
Bacillus cytotoxicus	580165	S	4364	64	4428	0.00004
Bacillus sp. ABP14	1892404	S	2231	3883	6114	0.00006
Bacillus sp. HBCD-sjtu	2053832	S	1099	3046	4145	0.00004
Bacillus toyonensis	155322	S	3163	14752	17915	0.00017
Bacillus albus	2026189	S	2668	5119	7787	0.00007
Bacillus nitratireducens	2026193	S	2373	1167	3540	0.00003
Bacillus mobilis	2026190	S	656	1654	2310	0.00002
Bacillus sp. BD59S	2499213	S	6785	4398	11183	0.00011
Bacillus sp. ZJS3	2928154	S	3336	2510	5846	0.00006
Bacillus sp. N5-665	2925318	S	1776	1234	3010	0.00003
Bacillus sp. PGP15	2933563	S	1017	2034	3051	0.00003
Bacillus sp. JY-23	2933872	S	778	5	783	0.00001
Bacillus sp. SYJ	2529386	S	595	3613	4208	0.00004
Bacillus sp. CRB-7	2874284	S	409	3158	3567	0.00003
Bacillus sp. NP247	2846779	S	277	657	934	0.00001
Bacillus sp. COPE52	2233998	S	162	338	500	0.00000
Bacillus sp. 1NLA3E	666686	S	151	1	152	0.00000
Bacillus sp. 41-22	2876713	S	131	1093	1224	0.00001
Bacillus sp. THAF10	2587848	S	103	1	104	0.00000
Bacillus sp. F19	2884833	S	79	2	81	0.00000
Bacillus sp. KH172YL63	2709784	S	58	0	58	0.00000
Bacillus sp. Y1	352858	S	18	0	18	0.00000
Bacillus sp. FJAT-22090	1581038	S	14	0	14	0.00000
Bacillus sp. S3	486398	S	14	0	14	0.00000
Bacillus sp. NSP9.1	1071078	S	11	0	11	0.00000
Bacillus sp. N1-1	2682541	S	10	0	10	0.00000
Bacillus subtilis	1423	S	533	6344	6877	0.00006
Bacillus velezensis	492670	S	339	3316	3655	0.00003
Bacillus amyloliquefaciens	1390	S	54	1012	1066	0.00001
Bacillus paralicheniformis	1648923	S	30	4	34	0.00000
Bacillus licheniformis	1402	S	22	192	214	0.00000
Bacillus atrophaeus	1452	S	17	50	67	0.00000
Bacillus vallismortis	72361	S	14	3	17	0.00000
Bacillus zhangzhouensis	1178540	S	201	17	218	0.00000
Bacillus safensis	561879	S	97	68	165	0.00000
Bacillus altitudinis	293387	S	43	69	112	0.00000
Bacillus aquiflavi	2672567	S	39	0	39	0.00000
Bacillus pumilus	1408	S	38	9	47	0.00000
Bacillus methanolicus	1471	S	37	0	37	0.00000
Bacillus smithii	1479	S	20	0	20	0.00000
Bacillus shivajii	1983719	S	14	0	14	0.00000
Bacillus fonticola	2728853	S	12	0	12	0.00000
Bacillus weihaiensis	1547283	S	11	0	11	0.00000
Bacillus dafuensis	1742359	S	11	0	11	0.00000
Lysinibacillus sphaericus	1421	S	81	28	109	0.00000
Lysinibacillus timonensis	2086577	S	14	0	14	0.00000
Lysinibacillus capsici	2115968	S	14	3	17	0.00000
Priestia megaterium	1404	S	63	202	265	0.00000
Peribacillus asahii	228899	S	51	0	51	0.00000
Peribacillus simplex	1478	S	18	2	20	0.00000
Weizmannia coagulans	1398	S	78	8	86	0.00000
Pontibacillus sp. HMF3514	2692425	S	53	0	53	0.00000
Fictibacillus sp. KU28468	2991053	S	21	0	21	0.00000
Fictibacillus arsenicus	255247	S	19	0	19	0.00000
Virgibacillus sp. NKC19-16	2831673	S	12	10	22	0.00000
Radiobacillus deserti	2594883	S	27	0	27	0.00000
Heyndrickxia oleronia	38875	S	22	0	22	0.00000
Heyndrickxia vini	1476025	S	11	0	11	0.00000
Psychrobacillus glaciei	2283160	S	23	0	23	0.00000
Neobacillus sp. Marseille-Q6967	2963105	S	12	0	12	0.00000
Staphylococcus epidermidis	1282	S	3410094	1120427	4530521	0.04275
Staphylococcus aureus	1280	S	445868	2322885	2768753	0.02612
Staphylococcus lugdunensis	28035	S	9476	280	9756	0.00009
Staphylococcus argenteus	985002	S	6436	1138	7574	0.00007
Staphylococcus sp. NRL 22/194	3020908	S	4457	120	4577	0.00004
Staphylococcus sp. MZ8	2836366	S	339	45883	46222	0.00044
Staphylococcus sp. MZ9	2836367	S	262	156881	157143	0.00148
Staphylococcus sp. 17KM0847	2583989	S	201	3	204	0.00000
Staphylococcus sp. IVB6240	2989771	S	108	246	354	0.00000
Staphylococcus sp. IVB6181	2929481	S	78	3	81	0.00000
Staphylococcus sp. MI 10-1553	1912064	S	14	0	14	0.00000
Staphylococcus roterodami	2699836	S	5622	1384	7006	0.00007
Staphylococcus haemolyticus	1283	S	3573	344	3917	0.00004
Staphylococcus hominis	1290	S	2740	205	2945	0.00003
Staphylococcus schweitzeri	1654388	S	2306	516	2822	0.00003
Staphylococcus capitis	29388	S	2069	242	2311	0.00002
Staphylococcus simiae	308354	S	1972	29	2001	0.00002
Staphylococcus schleiferi	1295	S	1656	1390	3046	0.00003
Staphylococcus warneri	1292	S	1341	681	2022	0.00002
Staphylococcus caprae	29380	S	1222	81	1303	0.00001
Staphylococcus saccharolyticus	33028	S	1140	25	1165	0.00001
Staphylococcus pettenkoferi	170573	S	851	10	861	0.00001
Staphylococcus simulans	1286	S	801	22	823	0.00001
Staphylococcus agnetis	985762	S	650	50	700	0.00001
Staphylococcus pseudintermedius	283734	S	397	82	479	0.00000
Staphylococcus delphini	53344	S	190	13	203	0.00000
Staphylococcus equorum	246432	S	445	870	1315	0.00001
Staphylococcus felis	46127	S	436	10	446	0.00000
Staphylococcus arlettae	29378	S	411	19	430	0.00000
Staphylococcus pseudoxylosus	2282419	S	398	34	432	0.00000
Staphylococcus saprophyticus	29385	S	396	28	424	0.00000
Staphylococcus pasteuri	45972	S	389	40	429	0.00000
Staphylococcus chromogenes	46126	S	331	21	352	0.00000
Staphylococcus kloosii	29384	S	310	10	320	0.00000
Staphylococcus cohnii	29382	S	300	239	539	0.00001
Staphylococcus condimenti	70255	S	294	17	311	0.00000
Staphylococcus nepalensis	214473	S	265	10	275	0.00000
Staphylococcus carnosus	1281	S	247	16	263	0.00000
Staphylococcus xylosus	1288	S	241	21	262	0.00000
Staphylococcus piscifermentans	70258	S	237	19	256	0.00000
Staphylococcus edaphicus	1955013	S	220	5	225	0.00000
Staphylococcus debuckii	2044912	S	195	19	214	0.00000
Staphylococcus succinus	61015	S	186	2	188	0.00000
Staphylococcus lutrae	155085	S	120	3	123	0.00000
Staphylococcus auricularis	29379	S	76	1	77	0.00000
Staphylococcus gallinarum	1293	S	49	0	49	0.00000
Staphylococcus lloydii	2781774	S	48	2	50	0.00000
Staphylococcus hyicus	1284	S	44	4	48	0.00000
Staphylococcus ratti	2892440	S	41	0	41	0.00000
Staphylococcus muscae	1294	S	18	0	18	0.00000
Mammaliicoccus sciuri	1296	S	84	3	87	0.00000
Mammaliicoccus vitulinus	71237	S	17	0	17	0.00000
Mammaliicoccus lentus	42858	S	16	0	16	0.00000
Macrococcus armenti	2875764	S	23	14	37	0.00000
Abyssicoccus albus	1817405	S	20	0	20	0.00000
Paenibacillus glucanolyticus	59843	S	380	54	434	0.00000
Paenibacillus urinalis	521520	S	277	4	281	0.00000
Paenibacillus sp. JNUCC-32	2777984	S	14	1	15	0.00000
Paenibacillus graminis	189425	S	19	0	19	0.00000
Paenibacillus thiaminolyticus	49283	S	14	0	14	0.00000
Paenibacillus polymyxa	1406	S	13	2	15	0.00000
Paenibacillus physcomitrellae	1619311	S	12	0	12	0.00000
Paenibacillus guangzhouensis	1473112	S	11	0	11	0.00000
Planococcus sp. MB-3u-03	2058136	S	30	1	31	0.00000
Planococcus rifietoensis	200991	S	14	1	15	0.00000
Solibacillus silvestris	76853	S	11	2	13	0.00000
Listeria monocytogenes	1639	S	48	25	73	0.00000
Brochothrix thermosphacta	2756	S	17	1	18	0.00000
Thermoactinomyces vulgaris	2026	S	10	0	10	0.00000
Streptococcus mutans	1309	S	2897477	133716	3031193	0.02860
Streptococcus agalactiae	1311	S	68259	2612233	2680492	0.02529
