name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacillus cereus	1396	S	844614	1461400	2306014	0.15541
Bacillus thuringiensis	1428	S	10610	22634	33244	0.00224
Bacillus mycoides	1405	S	8906	15318	24224	0.00163
Bacillus anthracis	1392	S	6997	105238	112235	0.00756
Bacillus paranthracis	2026186	S	5702	41267	46969	0.00317
Bacillus wiedmannii	1890302	S	5612	1823	7435	0.00050
Bacillus luti	2026191	S	4102	297	4399	0.00030
Bacillus pacificus	2026187	S	2299	7276	9575	0.00065
Bacillus pseudomycoides	64104	S	2032	24	2056	0.00014
Bacillus tropicus	2026188	S	1909	10129	12038	0.00081
Bacillus cytotoxicus	580165	S	1319	16	1335	0.00009
Bacillus sp. ABP14	1892404	S	760	1062	1822	0.00012
Bacillus sp. HBCD-sjtu	2053832	S	393	898	1291	0.00009
Bacillus toyonensis	155322	S	908	3386	4294	0.00029
Bacillus albus	2026189	S	886	1308	2194	0.00015
Bacillus nitratireducens	2026193	S	778	321	1099	0.00007
Bacillus mobilis	2026190	S	164	349	513	0.00003
Bacillus sp. BD59S	2499213	S	1717	871	2588	0.00017
Bacillus sp. ZJS3	2928154	S	898	525	1423	0.00010
Bacillus sp. N5-665	2925318	S	435	233	668	0.00005
Bacillus sp. PGP15	2933563	S	250	387	637	0.00004
Bacillus sp. JY-23	2933872	S	181	0	181	0.00001
Bacillus sp. SYJ	2529386	S	166	778	944	0.00006
Bacillus sp. CRB-7	2874284	S	94	557	651	0.00004
Bacillus sp. NP247	2846779	S	56	101	157	0.00001
Bacillus sp. 1NLA3E	666686	S	45	0	45	0.00000
Bacillus sp. COPE52	2233998	S	40	64	104	0.00001
Bacillus sp. 41-22	2876713	S	31	198	229	0.00002
Bacillus sp. THAF10	2587848	S	28	0	28	0.00000
Bacillus sp. F19	2884833	S	20	0	20	0.00000
Bacillus sp. KH172YL63	2709784	S	16	0	16	0.00000
Bacillus velezensis	492670	S	99	703	802	0.00005
Bacillus amyloliquefaciens	1390	S	10	181	191	0.00001
Bacillus subtilis	1423	S	101	1005	1106	0.00007
Bacillus zhangzhouensis	1178540	S	83	5	88	0.00001
Bacillus safensis	561879	S	24	12	36	0.00000
Bacillus aquiflavi	2672567	S	13	0	13	0.00000
Lysinibacillus sphaericus	1421	S	13	4	17	0.00000
Fictibacillus arsenicus	255247	S	12	0	12	0.00000
Priestia megaterium	1404	S	12	3	15	0.00000
Weizmannia coagulans	1398	S	16	0	16	0.00000
Pontibacillus sp. HMF3514	2692425	S	10	0	10	0.00000
Staphylococcus epidermidis	1282	S	1006312	97286	1103598	0.07437
Staphylococcus aureus	1280	S	5287	9941	15228	0.00103
Staphylococcus lugdunensis	28035	S	2860	29	2889	0.00019
Staphylococcus hominis	1290	S	839	17	856	0.00006
Staphylococcus roterodami	2699836	S	596	37	633	0.00004
Staphylococcus capitis	29388	S	588	21	609	0.00004
Staphylococcus warneri	1292	S	527	66	593	0.00004
Staphylococcus caprae	29380	S	431	8	439	0.00003
Staphylococcus schleiferi	1295	S	398	79	477	0.00003
Staphylococcus haemolyticus	1283	S	384	11	395	0.00003
Staphylococcus pettenkoferi	170573	S	319	1	320	0.00002
Staphylococcus agnetis	985762	S	250	5	255	0.00002
Staphylococcus simulans	1286	S	191	1	192	0.00001
Staphylococcus saccharolyticus	33028	S	121	0	121	0.00001
Staphylococcus pseudintermedius	283734	S	102	2	104	0.00001
Staphylococcus cohnii	29382	S	105	20	125	0.00001
Staphylococcus saprophyticus	29385	S	100	2	102	0.00001
Staphylococcus carnosus	1281	S	69	1	70	0.00000
Staphylococcus xylosus	1288	S	68	1	69	0.00000
Staphylococcus pseudoxylosus	2282419	S	64	1	65	0.00000
Staphylococcus sp. NRL 22/194	3020908	S	20	11	31	0.00000
Staphylococcus equorum	246432	S	50	23	73	0.00000
Staphylococcus condimenti	70255	S	50	0	50	0.00000
Staphylococcus arlettae	29378	S	44	0	44	0.00000
