name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacillus cereus	1396	S	881954	1709408	2591362	0.09580
Bacillus thuringiensis	1428	S	10751	26524	37275	0.00138
Bacillus mycoides	1405	S	9082	19031	28113	0.00104
Bacillus anthracis	1392	S	7035	129455	136490	0.00505
Bacillus paranthracis	2026186	S	5693	47551	53244	0.00197
Bacillus wiedmannii	1890302	S	5595	2063	7658	0.00028
Bacillus luti	2026191	S	4091	337	4428	0.00016
Bacillus pacificus	2026187	S	2364	8363	10727	0.00040
Bacillus pseudomycoides	64104	S	2099	28	2127	0.00008
Bacillus tropicus	2026188	S	1884	11383	13267	0.00049
Bacillus cytotoxicus	580165	S	1337	17	1354	0.00005
Bacillus sp. ABP14	1892404	S	713	1126	1839	0.00007
Bacillus sp. HBCD-sjtu	2053832	S	326	828	1154	0.00004
Bacillus toyonensis	155322	S	916	3731	4647	0.00017
Bacillus albus	2026189	S	812	1394	2206	0.00008
Bacillus nitratireducens	2026193	S	682	309	991	0.00004
Bacillus mobilis	2026190	S	188	438	626	0.00002
Bacillus sp. BD59S	2499213	S	2011	1177	3188	0.00012
Bacillus sp. ZJS3	2928154	S	1034	700	1734	0.00006
Bacillus sp. N5-665	2925318	S	536	334	870	0.00003
Bacillus sp. PGP15	2933563	S	302	542	844	0.00003
Bacillus sp. JY-23	2933872	S	227	1	228	0.00001
Bacillus sp. SYJ	2529386	S	143	779	922	0.00003
Bacillus sp. CRB-7	2874284	S	104	718	822	0.00003
Bacillus sp. NP247	2846779	S	74	156	230	0.00001
Bacillus sp. 1NLA3E	666686	S	49	0	49	0.00000
Bacillus sp. COPE52	2233998	S	43	80	123	0.00000
Bacillus sp. 41-22	2876713	S	41	306	347	0.00001
Bacillus sp. THAF10	2587848	S	33	0	33	0.00000
Bacillus sp. F19	2884833	S	17	0	17	0.00000
Bacillus sp. KH172YL63	2709784	S	13	0	13	0.00000
Bacillus subtilis	1423	S	138	629	767	0.00003
Bacillus velezensis	492670	S	106	950	1056	0.00004
Bacillus amyloliquefaciens	1390	S	10	169	179	0.00001
Bacillus zhangzhouensis	1178540	S	71	5	76	0.00000
Bacillus safensis	561879	S	26	16	42	0.00000
Bacillus aquiflavi	2672567	S	16	0	16	0.00000
Lysinibacillus sphaericus	1421	S	22	6	28	0.00000
Peribacillus asahii	228899	S	13	0	13	0.00000
Fictibacillus sp. KU28468	2991053	S	10	0	10	0.00000
Priestia megaterium	1404	S	11	46	57	0.00000
Pontibacillus sp. HMF3514	2692425	S	12	0	12	0.00000
Weizmannia coagulans	1398	S	10	1	11	0.00000
Staphylococcus epidermidis	1282	S	940885	251612	1192497	0.04409
Staphylococcus aureus	1280	S	120625	532872	653497	0.02416
Staphylococcus lugdunensis	28035	S	2882	72	2954	0.00011
Staphylococcus argenteus	985002	S	1715	252	1967	0.00007
Staphylococcus roterodami	2699836	S	1601	328	1929	0.00007
Staphylococcus sp. NRL 22/194	3020908	S	1158	26	1184	0.00004
Staphylococcus sp. MZ8	2836366	S	98	11054	11152	0.00041
Staphylococcus sp. MZ9	2836367	S	87	43409	43496	0.00161
Staphylococcus sp. 17KM0847	2583989	S	43	0	43	0.00000
Staphylococcus sp. IVB6240	2989771	S	27	56	83	0.00000
Staphylococcus sp. IVB6181	2929481	S	11	0	11	0.00000
Staphylococcus haemolyticus	1283	S	1037	82	1119	0.00004
Staphylococcus hominis	1290	S	826	51	877	0.00003
Staphylococcus capitis	29388	S	590	59	649	0.00002
Staphylococcus schweitzeri	1654388	S	581	108	689	0.00003
Staphylococcus simiae	308354	S	464	5	469	0.00002
Staphylococcus warneri	1292	S	420	177	597	0.00002
Staphylococcus caprae	29380	S	353	19	372	0.00001
Staphylococcus schleiferi	1295	S	317	221	538	0.00002
Staphylococcus saccharolyticus	33028	S	273	5	278	0.00001
Staphylococcus pettenkoferi	170573	S	248	2	250	0.00001
Staphylococcus simulans	1286	S	229	5	234	0.00001
Staphylococcus agnetis	985762	S	200	12	212	0.00001
Staphylococcus pseudintermedius	283734	S	112	20	132	0.00000
Staphylococcus delphini	53344	S	61	3	64	0.00000
Staphylococcus equorum	246432	S	130	211	341	0.00001
Staphylococcus saprophyticus	29385	S	115	6	121	0.00000
Staphylococcus felis	46127	S	104	2	106	0.00000
Staphylococcus cohnii	29382	S	102	67	169	0.00001
Staphylococcus kloosii	29384	S	91	2	93	0.00000
Staphylococcus arlettae	29378	S	84	3	87	0.00000
Staphylococcus carnosus	1281	S	78	4	82	0.00000
Staphylococcus chromogenes	46126	S	76	4	80	0.00000
Staphylococcus pasteuri	45972	S	71	2	73	0.00000
Staphylococcus edaphicus	1955013	S	71	1	72	0.00000
Staphylococcus pseudoxylosus	2282419	S	71	5	76	0.00000
Staphylococcus nepalensis	214473	S	69	2	71	0.00000
Staphylococcus piscifermentans	70258	S	67	4	71	0.00000
Staphylococcus condimenti	70255	S	65	3	68	0.00000
Staphylococcus xylosus	1288	S	60	4	64	0.00000
Staphylococcus succinus	61015	S	58	0	58	0.00000
Staphylococcus debuckii	2044912	S	51	4	55	0.00000
Staphylococcus lutrae	155085	S	34	0	34	0.00000
Staphylococcus hyicus	1284	S	15	1	16	0.00000
Staphylococcus auricularis	29379	S	14	0	14	0.00000
Staphylococcus gallinarum	1293	S	13	0	13	0.00000
Staphylococcus lloydii	2781774	S	10	0	10	0.00000
Mammaliicoccus sciuri	1296	S	12	0	12	0.00000
Paenibacillus glucanolyticus	59843	S	108	8	116	0.00000
Paenibacillus urinalis	521520	S	88	0	88	0.00000
Planococcus sp. MB-3u-03	2058136	S	24	1	25	0.00000
Listeria monocytogenes	1639	S	10	21	31	0.00000
Streptococcus mutans	1309	S	646047	23721	669768	0.02476
Streptococcus agalactiae	1311	S	19202	585171	604373	0.02234
Streptococcus sp. FDAARGOS_522	2420310	S	1387	42967	44354	0.00164
Streptococcus sp. FDAARGOS_521	2420309	S	1097	40401	41498	0.00153
Streptococcus sp. FDAARGOS_520	2420308	S	296	11270	11566	0.00043
Streptococcus sp. zg-86	2664091	S	58	2	60	0.00000
Streptococcus sp. A12	1759399	S	44	5	49	0.00000
Streptococcus sp. Marseille-Q3533	2759692	S	37	1	38	0.00000
Streptococcus sp. DAT741	1940319	S	29	44	73	0.00000
Streptococcus sp. Marseille-Q6470	2972784	S	10	0	10	0.00000
Streptococcus sp. HSISS2	1316411	S	10	6	16	0.00000
Streptococcus troglodytae	1111760	S	1191	71	1262	0.00005
Streptococcus pyogenes	1314	S	877	170	1047	0.00004
Streptococcus dysgalactiae	1334	S	698	764	1462	0.00005
Streptococcus equi	1336	S	114	1	115	0.00000
Streptococcus suis	1307	S	601	64	665	0.00002
Streptococcus canis	1329	S	326	19	345	0.00001
Streptococcus intermedius	1338	S	177	16	193	0.00001
Streptococcus anginosus	1328	S	112	45	157	0.00001
Streptococcus constellatus	76860	S	10	3	13	0.00000
Streptococcus porcinus	1340	S	297	8	305	0.00001
Streptococcus uberis	1349	S	286	5	291	0.00001
Streptococcus halichoeri	254785	S	203	7	210	0.00001
Streptococcus salivarius	1304	S	201	51	252	0.00001
Streptococcus oralis	1303	S	186	24	210	0.00001
